coopid,year,total_catch_lobsters,total_value_lobsters,total_hhat_lobster,total_xhat_lobster,ic_price_lobsters,m_lobster,change_m_lobster,change_xhat_lobster
4,2000,192686,11555810,232512,22929990,119,2240790,,
4,2001,139743,18865304,282543,25908832,256,5752769,3511980,-2978842
4,2002,125010,16726538,196583,27669518,243,3912764,-1840005,-1760686
4,2003,154383,20841704,143350,11910759,232,2799047,-1113717,15758759
4,2004,133604,18036540,196701,16125018,221,3567678,768631,-4214259
4,2005,144597,19522176,167038,12338742,213,2961194,-606485,3786276
4,2006,166231,22441184,161531,4744014,205,2760049,-201145,7594728
4,2007,135918,18348948,204156,4606742,197,3293575,533526,137272
4,2008,178299,24112856,71573,1274902,188,1201749,-2091826,3331840
4,2009,169452,22196240,72949,1372469,175,1138829,-62921,-97566
4,2010,133339,15144080,127791,2358806,148,1612071,473242,-986338
4,2011,245167,25097030,79029,1415262,128,894309,-717762,943545
4,2012,184418,18441800,57743,1117566,118,620542,-273767,297696
4,2013,161095,16109500,115873,1987928,114,1130175,509633,-870362
4,2014,133090,13309061,94179,1563392,109,897114,-233061,424536
4,2015,88187,17675580,84455,1586251,201,1497675,600562,-22860
4,2016,77882,23148566,69130,1420743,294,1822054,324379,165508
5,2000,114806,6169123,151072,27012110,105,1332811,-489243,-25591366
5,2001,116286,6858738,143215,28267940,112,1347200,14388,-1255830
5,2002,141456,8456495,181097,27669518,108,1609847,262647,598422
5,2003,147982,9808150,137458,11910759,113,1316859,-292988,15758759
5,2004,124437,10078325,172251,13094469,131,1867388,550529,-1183710
5,2005,117285,9944225,156884,12338742,134,1756930,-110458,755727
5,2006,136620,11600145,113019,4744014,129,1252184,-504746,7594728
5,2007,89202,7582170,121376,4606742,124,1287631,35447,137272
5,2008,147093,23552276,74879,1274902,196,1306431,18800,3331840
5,2009,123429,24685800,91793,1372469,265,2126777,820347,-97566
5,2010,76629,15325800,118809,2358806,254,2581232,454455,-986338
5,2011,123264,24652800,74605,1415262,245,1631031,-950202,943545
5,2012,173282,34597672,55616,1046703,235,1197606,-433424,368559
5,2013,131470,26294000,103359,1987928,227,2036195,838589,-941225
5,2014,176230,35009776,84785,1563392,217,1622724,-413471,424536
5,2015,112008,22401600,78573,1586251,213,1482823,-139901,-22860
5,2016,62562,12512400,202834,1420743,206,3427051,1944228,165508
6,2000,6606,1675505,2274,20411148,486,143127,-3283924,-18990404
6,2001,7892,1973058,2547,22797742,487,158297,15170,-2386594
6,2002,10145,2528388,2505,22263222,451,144458,-13839,534520
6,2003,5259,1398800,2663,27108632,475,160439,15981,-4845410
