"","coopid","Functionality","year","month","catch_lobsters","value_lobsters"
"1",1,6.985294118,2015,"AGOSTO",NA,NA
"2",1,6.985294118,2015,"SEPTIEMBRE",NA,NA
"3",1,6.985294118,2015,"OCTUBRE",NA,NA
"4",1,6.985294118,2015,"NOVIEMBRE",NA,NA
"5",1,6.985294118,2015,"DICIEMBRE",NA,NA
"6",1,6.985294118,2016,"ENERO",NA,NA
"7",1,6.985294118,2016,"AGOSTO",NA,NA
"8",1,6.985294118,2016,"SEPTIEMBRE",NA,NA
"9",1,6.985294118,2016,"OCTUBRE",NA,NA
"10",1,6.985294118,2016,"NOVIEMBRE",NA,NA
"11",2,6.617647059,2015,"AGOSTO",NA,NA
"12",2,6.617647059,2015,"SEPTIEMBRE",NA,NA
"13",2,6.617647059,2015,"OCTUBRE",NA,NA
"14",2,6.617647059,2015,"DICIEMBRE",NA,NA
"15",2,6.617647059,2016,"FEBRERO",NA,NA
"16",2,6.617647059,2016,"MARZO",NA,NA
"17",2,6.617647059,2016,"ABRIL",NA,NA
"18",2,6.617647059,2016,"OCTUBRE",NA,NA
"19",2,6.617647059,2016,"NOVIEMBRE",NA,NA
"20",2,6.617647059,2016,"DICIEMBRE",NA,NA
"21",3,4.705882353,2001,"MARZO",NA,NA
"22",3,4.705882353,2001,"ABRIL",NA,NA
"23",3,4.705882353,2001,"MAYO",NA,NA
"24",3,4.705882353,2001,"JULIO",NA,NA
"25",3,4.705882353,2002,"ABRIL",NA,NA
"26",3,4.705882353,2002,"MAYO",NA,NA
"27",3,4.705882353,2002,"JUNIO",NA,NA
"28",3,4.705882353,2002,"AGOSTO",NA,NA
"29",3,4.705882353,2003,"JULIO",NA,NA
"30",3,4.705882353,2004,"FEBRERO",NA,NA
"31",3,4.705882353,2004,"MAYO",NA,NA
"32",3,4.705882353,2004,"JUNIO",NA,NA
"33",3,4.705882353,2004,"JULIO",NA,NA
"34",3,4.705882353,2005,"MAYO",NA,NA
"35",3,4.705882353,2005,"JUNIO",NA,NA
"36",3,4.705882353,2005,"JULIO",NA,NA
"37",3,4.705882353,2006,"JUNIO",NA,NA
"38",3,4.705882353,2006,"JULIO",NA,NA
"39",3,4.705882353,2006,"AGOSTO",NA,NA
"40",3,4.705882353,2007,"JUNIO",NA,NA
"41",3,4.705882353,2007,"JULIO",NA,NA
"42",3,4.705882353,2007,"AGOSTO",NA,NA
"43",3,4.705882353,2010,"MAYO",NA,NA
"44",3,4.705882353,2010,"JULIO",NA,NA
"45",3,4.705882353,2010,"AGOSTO",NA,NA
"46",3,4.705882353,2011,"MAYO",NA,NA
"47",3,4.705882353,2011,"JUNIO",NA,NA
"48",3,4.705882353,2011,"JULIO",NA,NA
"49",3,4.705882353,2011,"NOVIEMBRE",NA,NA
"50",3,4.705882353,2012,"ABRIL",NA,NA
"51",3,4.705882353,2012,"MAYO",NA,NA
"52",3,4.705882353,2012,"DICIEMBRE",NA,NA
"53",3,4.705882353,2013,"ABRIL",NA,NA
"54",4,7.843137255,2000,"ENERO",22773,797055
"55",4,7.843137255,2000,"FEBRERO",12539,438865
"56",4,7.843137255,2000,"MARZO",5767,201845
"57",4,7.843137255,2000,"ABRIL",6334,559290
"58",4,7.843137255,2000,"MAYO",7621,266735
"59",4,7.843137255,2000,"JUNIO",NA,NA
"60",4,7.843137255,2000,"JULIO",NA,NA
"61",4,7.843137255,2000,"AGOSTO",14651,893885
"62",4,7.843137255,2000,"SEPTIEMBRE",41140,1439900
"63",4,7.843137255,2000,"OCTUBRE",34182,1622270
"64",4,7.843137255,2000,"NOVIEMBRE",24135,2157525
"65",4,7.843137255,2000,"DICIEMBRE",23544,3178440
"66",4,7.843137255,2001,"ENERO",9118,1230930
"67",4,7.843137255,2001,"FEBRERO",5188,700380
"68",4,7.843137255,2001,"MARZO",1831,247185
"69",4,7.843137255,2001,"ABRIL",8866,1196910
"70",4,7.843137255,2001,"MAYO",NA,NA
"71",4,7.843137255,2001,"JUNIO",8844,1193940
"72",4,7.843137255,2001,"JULIO",5306,716310
"73",4,7.843137255,2001,"AGOSTO",2327,314145
"74",4,7.843137255,2001,"SEPTIEMBRE",34640,4676400
"75",4,7.843137255,2001,"OCTUBRE",24820,3350700
"76",4,7.843137255,2001,"NOVIEMBRE",23846,3219210
"77",4,7.843137255,2001,"DICIEMBRE",14957,2019195
"78",4,7.843137255,2002,"ENERO",11438,1544130
"79",4,7.843137255,2002,"FEBRERO",1285,173475
"80",4,7.843137255,2002,"MARZO",6002,810270
"81",4,7.843137255,2002,"ABRIL",5216,704160
"82",4,7.843137255,2002,"MAYO",6161,831735
"83",4,7.843137255,2002,"JUNIO",6746,910710
"84",4,7.843137255,2002,"JULIO",NA,NA
"85",4,7.843137255,2002,"AGOSTO",7015,947025
"86",4,7.843137255,2002,"SEPTIEMBRE",29443,3824993
"87",4,7.843137255,2002,"OCTUBRE",16961,2289735
"88",4,7.843137255,2002,"NOVIEMBRE",14847,2004345
"89",4,7.843137255,2002,"DICIEMBRE",19896,2685960
"90",4,7.843137255,2003,"ENERO",27105,3659175
"91",4,7.843137255,2003,"FEBRERO",4726,638010
"92",4,7.843137255,2003,"MARZO",NA,NA
"93",4,7.843137255,2003,"ABRIL",NA,NA
"94",4,7.843137255,2003,"MAYO",NA,NA
